company,partNum,partDesc,rangeName,groupDesc,subGroupDesc,stockLev
SECONPLC,100-101-121,NORDIC 4 DOOR 4 DRAWER WARDROBE - WHITE/DISTRESSED EFFECT,NORDIC RANGE,BEDROOM FURNITURE,WARDROBES,192
SECONPLC,100-101-127,TOLEDO 3 DOOR WARDROBE - GREY/OAK EFFECT,TOLEDO RANGE,BEDROOM FURNITURE,WARDROBES,128
SECONPLC,100-101-140,NEVADA MIRRORED OPEN SHELF WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,3
SECONPLC,100-101-142,NEVADA VANITY 1 DOOR WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,134
SECONPLC,100-101-143,NEVADA MIRRORED OPEN SHELF WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,272
SECONPLC,100-101-144,NEVADA PETITE OPEN SHELF WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,216
SECONPLC,100-101-153,NEVADA PETITE OPEN SHELF WARDROBE - BLACK WOOD GRAIN,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,221
SECONPLC,100-101-167,NEVADA 2 DOOR SLIDER WARDROBE - GREY GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,128
SECONPLC,100-101-177,NEVADA 2 DOOR CORNER WARDROBE - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,340
SECONPLC,100-101-179,NEVADA 3 DOOR SLIDER WARDROBE - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,48
SECONPLC,100-101-183,NEVADA 2 DOOR 1 DRAWER WARDROBE - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,301
SECONPLC,100-101-184,NEVADA MIRRORED 2 DOOR WARDROBE - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,193
SECONPLC,100-101-190,NEVADA 2 DOOR ALL HANGING WARDROBE - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,393
SECONFU,400-405-048,WINDSOR 2 DOOR 2 DRAWER SIDEBOARD - IVORY/OAK,WINDSOR RANGE,DINING ROOM FURNITURE,SIDEBOARDS,471
SECONFU,400-405-058,MIAMI 2 DOOR 3 DRAWER SIDEBOARD - OAK EFFECT/BLACK,MIAMI RANGE,DINING ROOM FURNITURE,SIDEBOARDS,24
SECONFU,400-406-014,SANTOS 4 SHELF CORNER UNIT - WHITE/DISTRESSED WAXED PINE,SANTOS RANGE,DINING ROOM FURNITURE,DISPLAY UNITS,82
SECONFU,500-501-001,BUDGET MEXICAN STUDY DESK - DISTRESSED WAXED PINE,BUDGET RANGE,HOME OFFICE FURNITURE,COMPUTER DESKS,117
SECONFU,500-501-002,CAMBOURNE COMPUTER DESK - LIGHT SONOMA OAK,CAMBOURNE RANGE,HOME OFFICE FURNITURE,COMPUTER DESKS,444
SECONFU,500-501-007,JENNY 2 DRAWER DESK - BEECH/WHITE,JENNY RANGE,HOME OFFICE FURNITURE,COMPUTER DESKS,335
SECONFU,500-501-012,SEVILLE 2 DRAWER SLIDER DESK - GREY GLOSS/LIGHT OAK EFFECT VENEER,SEVILLE RANGE,HOME OFFICE FURNITURE,COMPUTER DESKS,429
SECONFU,600-602-007,REGENT MIRROR - TEAK EFFECT VENEER,REGENT RANGE,MIRRORS,WALL MIRRORS,394
SECONFU,600-603-012,LISBON DRESSING TABLE MIRROR - BLACK WOOD GRAIN,LISBON RANGE,MIRRORS,DRESSING TABLE MIRRORS,64
SECONFU,600-603-015,BORDEAUX DRESSING TABLE MIRROR - PEBBLE GREY,BORDEAUX RANGE,MIRRORS,DRESSING TABLE MIRRORS,135
SECONFU,600-603-016,BORDEAUX DRESSING TABLE MIRROR - IVORY,BORDEAUX RANGE,MIRRORS,DRESSING TABLE MIRRORS,54
SECONFU,700-701-005,ASPEN CORNER GARDEN FURNITURE SET - BROWN RATTAN/GREY FABRIC,ASPEN RANGE,GARDEN FURNITURE,GARDEN SET,196
SECONPLC,100-101-001,ARCADIA 2 DOOR 1 DRAWER WARDROBE - WHITE/ASH,ARCADIA RANGE,BEDROOM FURNITURE,WARDROBES,26
SECONPLC,100-101-019,CHARLES 4 DOOR 2 DRAWER WARDROBE - OAK EFFECT VENEER,CHARLES RANGE,BEDROOM FURNITURE,WARDROBES,477
SECONPLC,100-101-022,CORONA 2 DOOR WARDROBE - DISTRESSED WAXED PINE,CORONA RANGE,BEDROOM FURNITURE,WARDROBES,444
SECONPLC,100-101-027,HOLLYWOOD 2 DOOR 2 DRAWER WARDROBE - WALNUT/BLACK GLOSS,HOLLYWOOD RANGE,BEDROOM FURNITURE,WARDROBES,265
SECONPLC,100-101-052,CORONA 2 DOOR WARDROBE - WHITE,CORONA RANGE,BEDROOM FURNITURE,WARDROBES,311
SECONPLC,100-101-056,CORONA 3 DOOR WARDROBE - WHITE,CORONA RANGE,BEDROOM FURNITURE,WARDROBES,122
SECONPLC,100-101-062,SEVILLE 2 DOOR WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,SEVILLE RANGE,BEDROOM FURNITURE,WARDROBES,48
SECONPLC,100-101-065,LUDLOW 2 DOOR WARDROBE - WHITE/OAK EFFECT,LUDLOW RANGE,BEDROOM FURNITURE,WARDROBES,203
SECONPLC,300-302-042,NAPLES STORAGE SIDE TABLE - WHITE,NAPLES RANGE,LIVING ROOM FURNITURE,LAMP TABLES,269
SECONPLC,300-302-059,EDDIE SIDE TABLE - GREY/SONOMA EFFECT,EDDIE RANGE,LIVING ROOM FURNITURE,LAMP TABLES,76
SECONPLC,300-302-062,SAXTON SIDE TABLE - MID OAK EFFECT/GREY,SAXTON RANGE,LIVING ROOM FURNITURE,LAMP TABLES,245
SECONPLC,300-302-066,SHELDON SIDE TABLE - CLEAR GLASS/BLACK,SHELDON RANGE,LIVING ROOM FURNITURE,LAMP TABLES,334
SECONPLC,300-303-001,ASHMORE NEST OF TABLES - ASH VENEER,ASHMORE RANGE,LIVING ROOM FURNITURE,NEST OF TABLES,35
SECONPLC,300-303-007,CHARISMA NEST OF TABLES - BLACK GLOSS/CHROME,CHARISMA RANGE,LIVING ROOM FURNITURE,NEST OF TABLES,163
SECONPLC,300-303-009,CHARLES NEST OF TABLES - OAK EFFECT VENEER,CHARLES RANGE,LIVING ROOM FURNITURE,NEST OF TABLES,54
SECONPLC,300-303-022,FINLEY NEST OF TABLES - MEDIUM OAK EFFECT VENEER,FINLEY RANGE,LIVING ROOM FURNITURE,NEST OF TABLES,476
SECONPLC,300-303-029,CHARISMA NEST OF TABLES - GREY GLOSS/CHROME,CHARISMA RANGE,LIVING ROOM FURNITURE,NEST OF TABLES,430
SECONPLC,300-303-046,LEON NEST OF 2 TABLES - MEDIUM OAK EFFECT,LEON RANGE,LIVING ROOM FURNITURE,NEST OF TABLES,492
SECONPLC,300-304-009,CORONA 1 DRAWER CONSOLE TABLE - GREY,CORONA RANGE,LIVING ROOM FURNITURE,CONSOLE HALL/TABLES,338
SECONPLC,300-304-012,SALVADOR CONSOLE TABLE - DISTRESSED WAXED PINE,SALVADOR RANGE,LIVING ROOM FURNITURE,CONSOLE HALL/TABLES,125
SECONPLC,300-304-032,CHANTILLY CONSOLE TABLE - ANTIQUE CREAM,CHANTILLY RANGE,LIVING ROOM FURNITURE,CONSOLE HALL/TABLES,411
SECONPLC,300-304-041,TESSA 2 DRAWER CONSOLE TABLE - NATURAL OAK EFFECT,TESSA RANGE,LIVING ROOM FURNITURE,CONSOLE HALL/TABLES,51
SECONPLC,300-305-025,CORONA FLAT SCREEN TV UNIT - CREAM,CORONA RANGE,LIVING ROOM FURNITURE,TV UNITS,146
SECONPLC,300-305-026,CORONA FLAT SCREEN TV UNIT - GREY,CORONA RANGE,LIVING ROOM FURNITURE,TV UNITS,262
SECONPLC,300-305-037,CHARISMA TV STAND - GREY GLOSS/CHROME,CHARISMA RANGE,LIVING ROOM FURNITURE,TV UNITS,359
SECONPLC,300-305-039,CHARISMA TV STAND - LIGHT SONOMA OAK/CHROME,CHARISMA RANGE,LIVING ROOM FURNITURE,TV UNITS,21
SECONPLC,300-305-044,MONTREAL TV UNIT - GREY/OAK EFFECT,MONTREAL RANGE,LIVING ROOM FURNITURE,TV UNITS,71
SECONPLC,300-305-056,CORONA RATTAN 1 DOOR 1 DRAWER TV UNIT - DISTRESSED WAX PINE/RATTAN EFFECT,CORONA RANGE,LIVING ROOM FURNITURE,TV UNITS,497
SECONPLC,100-101-071,SEVILLE 3 DOOR 2 DRAWER WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,SEVILLE RANGE,BEDROOM FURNITURE,WARDROBES,489
SECONPLC,100-101-079,NEVADA 2 DOOR 1 DRAWER WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,432
SECONPLC,100-101-084,NEVADA MIRRORED 2 DOOR WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,489
SECONPLC,100-101-096,SIENA 3 DOOR 2 DRAWER WARDROBE - WHITE WASH,SIENA RANGE,BEDROOM FURNITURE,WARDROBES,360
SECONPLC,100-101-100,NEVADA 2 DOOR 1 DRAWER WARDROBE - SONOMA OAK EFFECT,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,393
SECONPLC,100-101-103,NEVADA 5 DRAWER LOW WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,8
SECONPLC,100-101-119,NEVADA 5 DRAWER LOW WARDROBE - RUSTIC OAK EFFECT,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,282
SECONPLC,100-101-123,LISBON 4 DOOR WARDROBE - BLACK WOOD GRAIN,LISBON RANGE,BEDROOM FURNITURE,WARDROBES,178
SECONPLC,100-101-126,TOLEDO 3 DOOR WARDROBE - WHITE/OAK EFFECT,TOLEDO RANGE,BEDROOM FURNITURE,WARDROBES,449
SECONPLC,100-101-152,NEVADA MIRRORED OPEN SHELF WARDROBE - BLACK WOOD GRAIN,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,15
SECONPLC,100-101-168,MALVERN 2 DOOR WARDROBE - WHITE,MALVERN RANGE,BEDROOM FURNITURE,WARDROBES,286
SECONPLC,100-101-171,MALVERN 2 DOOR WARDROBE - SONOMA OAK EFFECT,MALVERN RANGE,BEDROOM FURNITURE,WARDROBES,106
SECONPLC,100-101-185,NEVADA 5 DRAWER LOW WARDROBE - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,55
SECONPLC,100-101-186,CODY 2 DOOR 1 DRAWER WARDROBE - WHITE/PINE EFFECT,CODY RANGE,BEDROOM FURNITURE,WARDROBES,407
SECONPLC,100-101-195,MALVERN 3 DOOR WARDROBE - URBAN SNOW,MALVERN RANGE,BEDROOM FURNITURE,WARDROBES,445
SECONPLC,100-101-196,OSLO 2 DOOR WARDROBE - ANTIQUE PINE,OSLO RANGE,BEDROOM FURNITURE,WARDROBES,61
SECONPLC,100-101-202,PORTLAND 2 DOOR WARDROBE - WHITE/OAK EFFECT,PORTLAND RANGE,BEDROOM FURNITURE,WARDROBES,270
SECONPLC,100-101-204,PORTLAND 3 DOOR WARDROBE - WHITE/OAK EFFECT,PORTLAND RANGE,BEDROOM FURNITURE,WARDROBES,144
SECONPLC,100-101-209,CLEVELAND 3 DOOR WARDROBE - WHITE/GREY METAL EFFECT,CLEVELAND RANGE,BEDROOM FURNITURE,WARDROBES,44
SECONPLC,100-101-214,PARIS 2 DOOR MIRRORED WARDROBE - SMOKED ASH EFFECT,PARIS RANGE,BEDROOM FURNITURE,WARDROBES,190
SECONPLC,100-101-218,DENVER 3 DOOR WARDROBE - GREY GLOSS,DENVER RANGE,BEDROOM FURNITURE,WARDROBES,226
SECONPLC,100-105-017,NEVADA DRESSING TABLE SET - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,DRESSING TABLES,356
SECONPLC,100-105-019,NEVADA DRESSING TABLE SET - RUSTIC OAK EFFECT,NEVADA RANGE,BEDROOM FURNITURE,DRESSING TABLES,291
SECONPLC,100-105-021,NEVADA DRESSING TABLE SET - 3D EFFECT GREY,NEVADA RANGE,BEDROOM FURNITURE,DRESSING TABLES,405
SECONPLC,100-105-027,WINDSOR 3 DRAWER DRESSING TABLE - PEBBLE GREY/OAK,WINDSOR RANGE,BEDROOM FURNITURE,DRESSING TABLES,444
SECONPLC,100-106-001,CAIRO DRESSING TABLE STOOL - DARK KENNEDY PINE,CAIRO RANGE,BEDROOM FURNITURE,DRESSING TABLE STOOLS,326
SECONPLC,100-106-009,JULIA DRESSING TABLE STOOL - BEECH/WHITE TRIM/BROWN PU,JULIA RANGE,BEDROOM FURNITURE,DRESSING TABLE STOOLS,238
SECONPLC,100-106-017,WINDSOR DRESSING TABLE STOOL - IVORY/OAT FABRIC,WINDSOR RANGE,BEDROOM FURNITURE,DRESSING TABLE STOOLS,302
SECONPLC,100-107-011,LISBON 2PC DRESSING TABLE SET - BLACK WOOD GRAIN/BLACK PU,LISBON RANGE,BEDROOM FURNITURE,DRESSING TABLES,138
SECONPLC,100-107-012,LISBON 2PC DRESSING TABLE SET - LIGHT OAK EFFECT/BLACK PU,LISBON RANGE,BEDROOM FURNITURE,DRESSING TABLES,121
SECONPLC,100-107-027,WINDSOR 3 DRAWER DRESSING TABLE SET - PEBBLE GREY/OAK/OAT FABRIC,WINDSOR RANGE,BEDROOM FURNITURE,DRESSING TABLE SETS,366
SECONPLC,100-108-001,CORONA TRIO SET - DISTRESSED WAXED PINE,CORONA RANGE,BEDROOM FURNITURE,BEDROOM SETS,171
SECONPLC,100-108-009,SEVILLE BEDROOM SET - BLACK GLOSS/LIGHT OAK EFFECT VENEER,SEVILLE RANGE,BEDROOM FURNITURE,BEDROOM SETS,474
SECONPLC,100-108-010,CORONA 4 PIECE BEDROOM SET - DISTRESSED WAXED PINE,CORONA RANGE,BEDROOM FURNITURE,BEDROOM SETS,139
SECONPLC,100-108-011,CORONA TRIO SET - WHITE,CORONA RANGE,BEDROOM FURNITURE,BEDROOM SETS,85
SECONPLC,100-108-031,NEVADA 3 DOOR 2 DRAWER WARDROBE BEDROOM SET - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,BEDROOM SETS,192
SECONPLC,100-108-033,NEVADA 3 DOOR 2 DRAWER WARDROBE BEDROOM SET - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,BEDROOM SETS,421
SECONPLC,100-108-038,NEVADA 4 DOOR 2 DRAWER WARDROBE BEDROOM SET - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,BEDROOM SETS,420
SECONPLC,100-108-042,NEVADA 4 DOOR 2 DRAWER WARDROBE BEDROOM SET - RUSTIC OAK EFFECT,NEVADA RANGE,BEDROOM FURNITURE,BEDROOM SETS,334
SECONPLC,100-108-054,NEVADA 3 DOOR 2 DRAWER WARDROBE BEDROOM SET - BLACK GLOSS,NEVADA RANGE,BEDROOM FURNITURE,BEDROOM SETS,266
SECONPLC,100-108-061,MALVERN 2 DOOR WARDROBE BEDROOM SET - GREY,MALVERN RANGE,BEDROOM FURNITURE,BEDROOM SETS,448
SECONPLC,100-101-155,NEVADA MIRRORED OPEN SHELF WARDROBE - 3D EFFECT GREY,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,309
SECONPLC,100-101-157,NEVADA VANITY 1 DOOR WARDROBE - 3D EFFECT GREY,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,493
SECONPLC,100-101-159,NEVADA 1 DOOR 1 DRAWER WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,127
SECONPLC,100-101-162,NORDIC 2 DOOR 2 DRAWER WARDROBE - GREY/CHARCOAL CONCRETE EFFECT,NORDIC RANGE,BEDROOM FURNITURE,WARDROBES,345
SECONPLC,100-101-166,NEVADA 2 DOOR SLIDER WARDROBE - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,229
